NamaBarang,Harga,terjual
ASUS VivoBook 14 K413EA-AM351TS Indie Black,Rp8.999.000,1 terjual
ASUS VivoBook 14 K413EA-AM551IPS Indie Black,Rp10.599.000,2 terjual
ASUS Zenbook Flip UX363EA-EM501TS Pine Grey,Rp16.299.000,4 terjual
ASUS VivoBook S333EA-EG552TS/ Intel Core i5/8GB/512GB/Windows 10 Home,Rp12.499.000,6 terjual
ASUS ZenBook UX433FAC-A501T [90NB0MQ1-M02050] - Royal Blue Metal,Rp13.999.000,5 terjual
ASUS VivoBook S430FN-EB732T [90NB0KM2-M04440] - Star Grey Red,Rp11.774.000,3 terjual
ASUS Notebook A412FL-EK702T Slate Grey,Rp11.999.000,
ASUS ZenBook UX433FAC-A502T [90NB0MQ8-M02070] - Icicle Silver Metal,Rp13.999.000,
ASUS All-in-One V241FFK-WA741T [90PT02A1-M00660] - White,Rp14.150.000,
ASUS VivoBook S430FN-EB334T Gun Metal,Rp7.999.000,
ASUS TUF FX505DT-R5596T Gold Steel,Rp12.599.000,
ASUS ZenBook 13 UX334FLC-A701T [90NB0MW3-M03900] - Royal Blue,Rp22.999.000,
ASUS ZenBook 13 UX334FLC-A702T [90NB0MW7-M04040] - Icicle Silver,Rp23.699.000,
ASUS Notebook A412FA-EK302T Slate Grey,Rp7.499.000,
